num_bodies,block_size,runtime_ms,runtime_sec
64,128,0.49,0.00049
64,256,0.607,0.000607
64,512,0.533,0.000533
64,1024,0.699,0.000699
512,128,1.653,0.001653
512,256,1.705,0.001705
512,512,2.054,0.002054
512,1024,2.06,0.00206
1024,128,2.999,0.002999
1024,256,3.184,0.003184
1024,512,3.622,0.003622
1024,1024,5.831,0.005831
2048,128,5.753,0.005753
2048,256,6.196,0.006196
2048,512,6.757,0.006757
2048,1024,10.768,0.010768
4096,128,11.671,0.011671
4096,256,11.233,0.011233
4096,512,13.13,0.01313
4096,1024,20.781,0.020781
